train,val,test
TCGA-F5-6571-01Z-00-DX1.hhhhhh.svs,TCGA-A6-6652-01Z-00-DX1.hhhhhh.svs,TCGA-A6-6652-01Z-00-DX1.hhhhhh.svs
TCGA-QG-A5YX-01Z-00-DX1.hhhhhh.svs,TCGA-CA-6715-01Z-00-DX1.hhhhhh.svs,TCGA-CA-6715-01Z-00-DX1.hhhhhh.svs
TCGA-G4-6320-01Z-00-DX1.hhhhhh.svs,TCGA-CM-5862-01Z-00-DX1.hhhhhh.svs,TCGA-CM-5862-01Z-00-DX1.hhhhhh.svs
TCGA-EI-6506-01Z-00-DX1.hhhhhh.svs,TCGA-A6-5660-01Z-00-DX1.hhhhhh.svs,TCGA-A6-5660-01Z-00-DX1.hhhhhh.svs
TCGA-A6-2685-01Z-00-DX1.hhhhhh.svs,TCGA-D5-5541-01Z-00-DX1.hhhhhh.svs,TCGA-D5-5541-01Z-00-DX1.hhhhhh.svs
TCGA-G5-6572-01Z-00-DX1.hhhhhh.svs,TCGA-D5-6924-01Z-00-DX1.hhhhhh.svs,TCGA-D5-6924-01Z-00-DX1.hhhhhh.svs
TCGA-D5-6541-01Z-00-DX1.hhhhhh.svs,TCGA-AY-6386-01Z-00-DX1.hhhhhh.svs,TCGA-AY-6386-01Z-00-DX1.hhhhhh.svs
TCGA-AH-6547-01Z-00-DX1.hhhhhh.svs,TCGA-G4-6323-01Z-00-DX1.hhhhhh.svs,TCGA-G4-6323-01Z-00-DX1.hhhhhh.svs
TCGA-A6-5667-01Z-00-DX1.hhhhhh.svs,TCGA-EI-6509-01Z-00-DX1.hhhhhh.svs,TCGA-EI-6509-01Z-00-DX1.hhhhhh.svs
TCGA-AD-6889-01Z-00-DX1.hhhhhh.svs,TCGA-D5-6535-01Z-00-DX1.hhhhhh.svs,TCGA-D5-6535-01Z-00-DX1.hhhhhh.svs
TCGA-AZ-6601-01Z-00-DX1.hhhhhh.svs,TCGA-DM-A1HA-01Z-00-DX1.hhhhhh.svs,TCGA-DM-A1HA-01Z-00-DX1.hhhhhh.svs
TCGA-CM-6165-01Z-00-DX1.hhhhhh.svs,TCGA-AM-5821-01Z-00-DX1.hhhhhh.svs,TCGA-AM-5821-01Z-00-DX1.hhhhhh.svs
TCGA-F5-6863-01Z-00-DX1.hhhhhh.svs,TCGA-CK-5914-01Z-00-DX1.hhhhhh.svs,TCGA-CK-5914-01Z-00-DX1.hhhhhh.svs
TCGA-EI-6513-01Z-00-DX1.hhhhhh.svs,TCGA-A6-A56B-01Z-00-DX1.hhhhhh.svs,TCGA-A6-A56B-01Z-00-DX1.hhhhhh.svs
TCGA-4N-A93T-01Z-00-DX1.hhhhhh.svs,TCGA-D5-6529-01Z-00-DX1.hhhhhh.svs,TCGA-D5-6529-01Z-00-DX1.hhhhhh.svs
TCGA-A6-4105-01Z-00-DX1.hhhhhh.svs,TCGA-F4-6854-01Z-00-DX1.hhhhhh.svs,TCGA-F4-6854-01Z-00-DX1.hhhhhh.svs
TCGA-AG-3902-01Z-00-DX1.hhhhhh.svs,TCGA-F4-6807-01Z-00-DX1.hhhhhh.svs,TCGA-F4-6807-01Z-00-DX1.hhhhhh.svs
