train,val,test
TCGA-BR-8365-01Z-00-DX1.hhhhhh.svs,TCGA-CG-4443-01Z-00-DX1.hhhhhh.svs,TCGA-CG-4443-01Z-00-DX1.hhhhhh.svs
TCGA-HU-8238-01Z-00-DX1.hhhhhh.svs,TCGA-CG-5722-01Z-00-DX1.hhhhhh.svs,TCGA-CG-5722-01Z-00-DX1.hhhhhh.svs
TCGA-BR-A4J4-01Z-00-DX1.hhhhhh.svs,TCGA-BR-7197-01Z-00-DX1.hhhhhh.svs,TCGA-BR-7197-01Z-00-DX1.hhhhhh.svs
TCGA-BR-8284-01Z-00-DX1.hhhhhh.svs,TCGA-CG-4441-01Z-00-DX1.hhhhhh.svs,TCGA-CG-4441-01Z-00-DX1.hhhhhh.svs
TCGA-VQ-AA6G-01Z-00-DX1.hhhhhh.svs,TCGA-HF-7133-01Z-00-DX1.hhhhhh.svs,TCGA-HF-7133-01Z-00-DX1.hhhhhh.svs
TCGA-VQ-AA64-01Z-00-DX1.hhhhhh.svs,TCGA-CD-8536-01Z-00-DX1.hhhhhh.svs,TCGA-CD-8536-01Z-00-DX1.hhhhhh.svs
TCGA-CG-4301-01Z-00-DX1.hhhhhh.svs,TCGA-BR-7196-01Z-00-DX1.hhhhhh.svs,TCGA-BR-7196-01Z-00-DX1.hhhhhh.svs
TCGA-D7-6519-01Z-00-DX1.hhhhhh.svs,TCGA-R5-A7O7-01Z-00-DX1.hhhhhh.svs,TCGA-R5-A7O7-01Z-00-DX1.hhhhhh.svs
TCGA-B7-5816-01Z-00-DX1.hhhhhh.svs,TCGA-BR-7957-01Z-00-DX1.hhhhhh.svs,TCGA-BR-7957-01Z-00-DX1.hhhhhh.svs
TCGA-BR-6707-01Z-00-DX1.hhhhhh.svs,TCGA-3M-AB46-01Z-00-DX1.hhhhhh.svs,TCGA-3M-AB46-01Z-00-DX1.hhhhhh.svs
TCGA-FP-8211-01Z-00-DX1.hhhhhh.svs,TCGA-CG-5726-01Z-00-DX1.hhhhhh.svs,TCGA-CG-5726-01Z-00-DX1.hhhhhh.svs
TCGA-CD-5801-01Z-00-DX1.hhhhhh.svs,TCGA-BR-7901-01Z-00-DX1.hhhhhh.svs,TCGA-BR-7901-01Z-00-DX1.hhhhhh.svs
TCGA-BR-6457-01Z-00-DX1.hhhhhh.svs,TCGA-HU-A4GP-01Z-00-DX1.hhhhhh.svs,TCGA-HU-A4GP-01Z-00-DX1.hhhhhh.svs
TCGA-CG-5734-01Z-00-DX1.hhhhhh.svs,TCGA-FP-7998-01Z-00-DX1.hhhhhh.svs,TCGA-FP-7998-01Z-00-DX1.hhhhhh.svs
TCGA-BR-A4IU-01Z-00-DX1.hhhhhh.svs,TCGA-CG-4475-01Z-00-DX1.hhhhhh.svs,TCGA-CG-4475-01Z-00-DX1.hhhhhh.svs
TCGA-BR-8485-01Z-00-DX1.hhhhhh.svs,TCGA-VQ-AA6J-01Z-00-DX1.hhhhhh.svs,TCGA-VQ-AA6J-01Z-00-DX1.hhhhhh.svs
TCGA-VQ-A8P5-01Z-00-DX1.hhhhhh.svs,TCGA-D7-A748-01Z-00-DX1.hhhhhh.svs,TCGA-D7-A748-01Z-00-DX1.hhhhhh.svs
TCGA-CG-5718-01Z-00-DX1.hhhhhh.svs,TCGA-CD-8532-01Z-00-DX1.hhhhhh.svs,TCGA-CD-8532-01Z-00-DX1.hhhhhh.svs
TCGA-BR-6458-01Z-00-DX1.hhhhhh.svs,TCGA-CD-A4MG-01Z-00-DX1.hhhhhh.svs,TCGA-CD-A4MG-01Z-00-DX1.hhhhhh.svs
TCGA-CG-5725-01Z-00-DX1.hhhhhh.svs,TCGA-BR-A4J1-01Z-00-DX1.hhhhhh.svs,TCGA-BR-A4J1-01Z-00-DX1.hhhhhh.svs
TCGA-D7-6817-01Z-00-DX1.hhhhhh.svs,TCGA-BR-8590-01Z-00-DX1.hhhhhh.svs,TCGA-BR-8590-01Z-00-DX1.hhhhhh.svs
TCGA-BR-6801-01Z-00-DX1.hhhhhh.svs,TCGA-CD-A486-01Z-00-DX1.hhhhhh.svs,TCGA-CD-A486-01Z-00-DX1.hhhhhh.svs
TCGA-D7-8575-01Z-00-DX1.hhhhhh.svs,TCGA-VQ-A928-01Z-00-DX1.hhhhhh.svs,TCGA-VQ-A928-01Z-00-DX1.hhhhhh.svs
TCGA-BR-A452-01Z-00-DX1.hhhhhh.svs,TCGA-D7-A6F0-01Z-00-DX1.hhhhhh.svs,TCGA-D7-A6F0-01Z-00-DX1.hhhhhh.svs
TCGA-BR-8690-01Z-00-DX1.hhhhhh.svs,TCGA-VQ-A91Q-01Z-00-DX1.hhhhhh.svs,TCGA-VQ-A91Q-01Z-00-DX1.hhhhhh.svs
TCGA-MX-A666-01Z-00-DX1.hhhhhh.svs,TCGA-CG-5720-01Z-00-DX1.hhhhhh.svs,TCGA-CG-5720-01Z-00-DX1.hhhhhh.svs
TCGA-RD-A8N9-01Z-00-DX1.hhhhhh.svs,TCGA-VQ-A8PQ-01Z-00-DX1.hhhhhh.svs,TCGA-VQ-A8PQ-01Z-00-DX1.hhhhhh.svs
TCGA-CG-4440-01Z-00-DX1.hhhhhh.svs,TCGA-CG-5723-01Z-00-DX1.hhhhhh.svs,TCGA-CG-5723-01Z-00-DX1.hhhhhh.svs
TCGA-CD-A48A-01Z-00-DX1.hhhhhh.svs,TCGA-BR-6453-01Z-00-DX1.hhhhhh.svs,TCGA-BR-6453-01Z-00-DX1.hhhhhh.svs
TCGA-CG-5724-01Z-00-DX1.hhhhhh.svs,TCGA-KB-A93J-01Z-00-DX1.hhhhhh.svs,TCGA-KB-A93J-01Z-00-DX1.hhhhhh.svs
TCGA-BR-8592-01Z-00-DX1.hhhhhh.svs,TCGA-BR-8367-01Z-00-DX1.hhhhhh.svs,TCGA-BR-8367-01Z-00-DX1.hhhhhh.svs
TCGA-HU-A4GD-01Z-00-DX1.hhhhhh.svs,TCGA-HU-A4HD-01Z-00-DX1.hhhhhh.svs,TCGA-HU-A4HD-01Z-00-DX1.hhhhhh.svs
TCGA-BR-8364-01Z-00-DX1.hhhhhh.svs,TCGA-BR-8589-01Z-00-DX1.hhhhhh.svs,TCGA-BR-8589-01Z-00-DX1.hhhhhh.svs
TCGA-CG-5719-01Z-00-DX1.hhhhhh.svs,TCGA-D7-6521-01Z-00-DX1.hhhhhh.svs,TCGA-D7-6521-01Z-00-DX1.hhhhhh.svs
TCGA-VQ-A8DU-01Z-00-DX1.hhhhhh.svs,TCGA-CD-8530-01Z-00-DX1.hhhhhh.svs,TCGA-CD-8530-01Z-00-DX1.hhhhhh.svs
TCGA-BR-8286-01Z-00-DX1.hhhhhh.svs,TCGA-BR-7703-01Z-00-DX1.hhhhhh.svs,TCGA-BR-7703-01Z-00-DX1.hhhhhh.svs
TCGA-HU-8604-01Z-00-DX1.hhhhhh.svs,TCGA-CG-4466-01Z-00-DX1.hhhhhh.svs,TCGA-CG-4466-01Z-00-DX1.hhhhhh.svs
TCGA-D7-6822-01Z-00-DX1.hhhhhh.svs,TCGA-HF-7134-01Z-00-DX1.hhhhhh.svs,TCGA-HF-7134-01Z-00-DX1.hhhhhh.svs
TCGA-FP-A9TM-01Z-00-DX1.hhhhhh.svs,TCGA-F1-6874-01Z-00-DX1.hhhhhh.svs,TCGA-F1-6874-01Z-00-DX1.hhhhhh.svs
TCGA-VQ-A8E2-01Z-00-DX1.hhhhhh.svs,TCGA-RD-A8N0-01Z-00-DX1.hhhhhh.svs,TCGA-RD-A8N0-01Z-00-DX1.hhhhhh.svs
TCGA-RD-A8NB-01Z-00-DX1.hhhhhh.svs,TCGA-D7-8574-01Z-00-DX1.hhhhhh.svs,TCGA-D7-8574-01Z-00-DX1.hhhhhh.svs
TCGA-HU-A4GY-01Z-00-DX1.hhhhhh.svs,TCGA-HU-A4GX-01Z-00-DX1.hhhhhh.svs,TCGA-HU-A4GX-01Z-00-DX1.hhhhhh.svs
